timestamp_open,timestamp_close,side,entry_price,stop_loss,take_profit,exit_price,position_size,result,profit_loss,reason_exit,symbol,timeframe,risk_percent,risk_amount,risk_reward,confidence,reason_entry,balance_after
2022-02-15 20:30:00,2022-02-16 07:00:00,SELL,1852.848,1856.5609440239743,1845.4221119520512,1856.5609440239743,1.346640285367925,LOSS,-5.0,Stop loss hit,XAUUSD,15m,0.005,5.0,2.0,95.0,Side=SELL | Trend bias=SELL | ADX ok=True | RSI ok=True | RR=2.00,995.0
2022-02-16 07:15:00,2022-02-16 10:00:00,BUY,1855.618,1853.776051355925,1859.30189728815,1859.30189728815,2.7009439247956064,WIN,9.950000000000001,Take profit hit,XAUUSD,15m,0.005,4.9750000000000005,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1004.95
2022-02-16 13:00:00,2022-02-16 13:15:00,SELL,1852.358,1854.8680376664427,1847.3379246671145,1854.8680376664427,2.0018623892290823,LOSS,-5.02475,Stop loss hit,XAUUSD,15m,0.005,5.02475,2.0,95.0,Side=SELL | Trend bias=SELL | ADX ok=True | RSI ok=True | RR=2.00,999.92525
2022-02-16 13:30:00,2022-02-16 14:30:00,BUY,1856.218,1853.0424573182204,1862.5690853635595,1862.5690853635595,1.5744163284865784,WIN,9.9992525,Take profit hit,XAUUSD,15m,0.005,4.99962625,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1009.9245025
2022-02-16 14:45:00,2022-02-16 17:30:00,BUY,1861.798,1858.1313463327297,1869.1313073345407,1869.1313073345407,1.377174658619782,WIN,10.099245025,Take profit hit,XAUUSD,15m,0.005,5.0496225125,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1020.023747525
2022-02-16 18:45:00,2022-02-17 03:45:00,BUY,1866.178,1862.7549810082405,1873.0240379835193,1873.0240379835193,1.4899475433536238,WIN,10.20023747525,Take profit hit,XAUUSD,15m,0.005,5.100118737625,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1030.22398500025
2022-02-17 04:00:00,2022-02-17 04:15:00,BUY,1874.818,1871.7988332716066,1880.8563334567868,1871.7988332716066,1.7061396035396441,LOSS,-5.15111992500125,Stop loss hit,XAUUSD,15m,0.005,5.15111992500125,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1025.0728650752487
2022-02-17 04:30:00,2022-02-17 05:00:00,BUY,1874.458,1871.0602133821508,1881.253573235699,1871.0602133821508,1.5084420835762904,LOSS,-5.1253643253762435,Stop loss hit,XAUUSD,15m,0.005,5.1253643253762435,2.000000000000067,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1019.9475007498725
2022-02-17 05:15:00,2022-02-17 08:15:00,BUY,1873.654,1870.1500050293678,1880.6619899412644,1880.6619899412644,1.455406627718197,WIN,10.199475007498725,Take profit hit,XAUUSD,15m,0.005,5.099737503749362,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1030.1469757573711
2022-02-17 12:15:00,2022-02-17 13:30:00,BUY,1885.578,1881.368993744698,1893.996012510604,1893.996012510604,1.2237413219090716,WIN,10.301469757573711,Take profit hit,XAUUSD,15m,0.005,5.150734878786856,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1040.4484455149448
2022-02-17 14:00:00,2022-02-17 18:30:00,BUY,1889.248,1883.683727164416,1900.376545671168,1900.376545671168,0.9349365822441226,WIN,10.404484455149447,Take profit hit,XAUUSD,15m,0.005,5.2022422275747235,2.0,95.0,Side=BUY | Trend bias=BUY | ADX ok=True | RSI ok=True | RR=2.00,1050.8529299700942
